id_centre_desservi,annee,type_consommation,consommation,dotation
035510105,1997,Population branchée,47669.0,30.9981778626279
035510105,1998,Administrative,16452.0,4.6027273985514
035510105,1998,Autres,0.0,
035510105,1998,Bornes Fontaines,396.0,0.195665712120782
035510105,1998,Industrielle,3976.0,1.1123537646876
035510105,1998,Population branchée,54463.0,35.1251261952565
035510105,1999,Administrative,15416.0,4.32496208052662
035510105,1999,Autres,0.0,
035510105,1999,Bornes Fontaines,105.0,0.0555999654780634
035510105,1999,Industrielle,7279.0,2.04212499897206
035510105,1999,Population branchée,52982.0,31.6134180116678
035510105,2000,Administrative,14237.0,4.00537457476432
035510105,2000,Autres,0.0,
035510105,2000,Bornes Fontaines,419.0,0.232249736305752
035510105,2000,Industrielle,3221.0,0.906181885602014
035510105,2000,Population branchée,52377.0,29.923189573403
035510105,2001,Administrative,12880.0,3.63374597619144
035510105,2001,Autres,0.0,
035510105,2001,Bornes Fontaines,17.0,0.0100899007809427
035510105,2001,Industrielle,1944.0,0.548447374046286
035510105,2001,Population branchée,59537.0,32.0143287042198
035510105,2002,Administrative,19562.0,5.53434214430089
035510105,2002,Autres,0.0,
035510105,2002,Bornes Fontaines,373.0,0.226171324642225
