centre_id,pop_1994,pop_2004
070410905,21982.0,26990.0
070410907,20545.0,22283.0
0704109092,,22977.0
0704109093,,6585.0
0704109112,,15062.0
0704109113,,6346.0
071610101,9738.0,15657.0
071610103,12592.0,17067.0
071610301,11631.0,11764.0
071610303,5834.0,6333.0
071610305,20453.0,22454.0
071610307,7132.0,7137.0
071610309,6606.0,6552.0
0716103112,,8050.0
0716103113,,11138.0
071610313,8713.0,9378.0
071610315,4764.0,4749.0
071610501,7275.0,7961.0
071610503,5875.0,5947.0
071610505,4762.0,5557.0
071610507,5437.0,6037.0
071610509,6981.0,7781.0
071610511,5418.0,5455.0
071610513,7516.0,6864.0
071610515,8029.0,8667.0
071610517,8485.0,8673.0
071610701,6690.0,7219.0
071610703,6753.0,6739.0
071610705,12474.0,14191.0
071610707,9042.0,9280.0
071610709,8836.0,9873.0
071610711,11521.0,11798.0
071610713,14681.0,15166.0
071610715,13704.0,15950.0
071610901,12167.0,12196.0
071610903,7605.0,8230.0
071610905,6999.0,7402.0
071610907,4370.0,4540.0
071610909,6578.0,6357.0
071610911,9628.0,9802.0
071610913,10171.0,10668.0
071610915,6377.0,7186.0
071910101,47080.0,62872.0
071910103,51404.0,68694.0
071910105,11219.0,20237.0
071910107,6292.0,6352.0
071910109,8701.0,12212.0
071910301,7982.0,7874.0
071910303,5652.0,6754.0
071910305,7720.0,8382.0
071910307,6428.0,7587.0
071910309,4406.0,4559.0
071910311,8193.0,9501.0
071910313,8779.0,9568.0
071910315,10286.0,11504.0
071910317,6180.0,6089.0
071910319,5739.0,6031.0
071910321,6808.0,7165.0
071910323,5879.0,6174.0
071910325,4715.0,4773.0
071910327,5063.0,5527.0
071910329,5375.0,6131.0
071910331,6977.0,6497.0
071910333,9562.0,11228.0
071910335,7474.0,8191.0
071910337,6925.0,9260.0
071910339,4785.0,5111.0
071910341,6475.0,8830.0
0719105012,,12433.0
0719105013,,1732.0
071910503,12910.0,13640.0
071910505,8602.0,9577.0
071910507,8344.0,9525.0
071910509,10222.0,10555.0
071910511,11789.0,10852.0
071910513,11890.0,11373.0
071910515,10460.0,10110.0
071910516,3040.0,3890.0
071910517,9694.0,9362.0
071910519,8370.0,9253.0
071910521,9819.0,10113.0
071910523,7587.0,6491.0
071910525,7638.0,8064.0
071910527,17131.0,17708.0
071910529,3960.0,3910.0
071910531,15635.0,15996.0
071910533,26778.0,27415.0
071910701,7255.0,7499.0
071910703,9870.0,8888.0
071910705,9453.0,9554.0
071910707,9520.0,10060.0
071910709,12689.0,13225.0
071910711,6787.0,5382.0
071910713,8455.0,8554.0
071910715,10195.0,10175.0
071910717,6930.0,6894.0
071910719,11746.0,12159.0
071910721,6166.0,6318.0
0719107232,,9994.0
0719107233,,4352.0
071910725,9079.0,8942.0
071910901,6006.0,5662.0
071910903,6294.0,5748.0
071910905,10375.0,11012.0
071910907,9640.0,10172.0
071910909,11867.0,14651.0
071910911,9343.0,9641.0
071910913,11680.0,12924.0
071910915,6869.0,6398.0
0719109172,,12426.0
0719109173,,5066.0
071910919,9572.0,9907.0
072110101,2118.0,2497.0
072110103,3898.0,4698.0
072110105,56074.0,69493.0
072110107,3406.0,4133.0
072110109,8620.0,9984.0
072110301,7373.0,7081.0
072110303,14584.0,15037.0
072110305,8882.0,8984.0
072110307,6671.0,6669.0
072110309,11638.0,10842.0
072110311,6767.0,6878.0
072110313,5445.0,5324.0
072110315,6984.0,7029.0
072110317,4596.0,4220.0
072110319,5857.0,6273.0
072110321,5884.0,5969.0
072110323,4769.0,4583.0
072110325,5245.0,5463.0
072110327,7623.0,7782.0
072110329,4495.0,3878.0
0721103312,,11276.0
0721103313,,912.0
072110333,7955.0,6963.0
072110335,7770.0,7635.0
072110337,7081.0,6623.0
072110339,7249.0,7880.0
072110341,9662.0,9553.0
072110343,13343.0,13203.0
072110345,6083.0,6088.0
0721103472,,5936.0
0721103473,,1174.0
072110349,11866.0,11479.0
072110351,6195.0,6432.0
072110501,3572.0,3321.0
072110503,8559.0,8934.0
